Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Inari,6959,6988,7018,7047,7075,7099,7121,7141,7159,7173,7185,7197,7204,7211,7216,7223,7225,7230,7233,7235,7236,7234
Sodankylä,8333,8239,8158,8085,8018,7954,7892,7830,7767,7704,7641,7577,7515,7451,7389,7330,7272,7219,7166,7117,7067,7017
Utsjoki,1226,1221,1218,1212,1207,1202,1198,1193,1188,1182,1179,1175,1172,1168,1165,1161,1159,1157,1154,1153,1151,1150
MA2 AHVENANMAA,30042,30303,30557,30800,31044,31279,31511,31733,31957,32159,32356,32558,32739,32921,33100,33268,33428,33583,33738,33886,34040,34176
MK21 Ahvenanmaa,30042,30303,30557,30800,31044,31279,31511,31733,31957,32159,32356,32558,32739,32921,33100,33268,33428,33583,33738,33886,34040,34176
Mariehamns stad,11853,11961,12064,12165,12261,12358,12453,12545,12633,12719,12803,12881,12958,13031,13099,13164,13223,13279,13335,13386,13436,13481
Maarianhamina - Mariehamn,11853,11961,12064,12165,12261,12358,12453,12545,12633,12719,12803,12881,12958,13031,13099,13164,13223,13279,13335,13386,13436,13481
Ålands landsbygd,16128,16286,16439,16586,16728,16866,17000,17124,17252,17365,17475,17589,17688,17792,17899,18000,18098,18193,18290,18386,18485,18578
Eckerö,967,972,977,983,989,995,1002,1007,1014,1018,1023,1030,1034,1038,1043,1046,1049,1054,1057,1061,1064,1068
Finström,2608,2629,2647,2665,2682,2697,2712,2725,2738,2750,2762,2773,2784,2795,2806,2820,2831,2844,2856,2868,2880,2892
Geta,517,521,524,528,533,537,541,545,551,553,557,562,565,568,572,576,579,582,584,588,592,595
Hammarland,1583,1591,1598,1606,1613,1621,1628,1633,1639,1645,1651,1659,1664,1670,1678,1684,1692,1697,1703,1709,1717,1723
Jomala,5144,5251,5354,5452,5544,5633,5718,5801,5881,5956,6029,6098,6165,6232,6298,6362,6424,6485,6543,6601,6657,6711
Lemland,2042,2054,2064,2077,2089,2100,2112,2124,2136,2146,2155,2164,2173,2182,2191,2198,2205,2210,2218,2224,2231,2239
Lumparland,376,371,368,364,362,360,358,355,354,350,347,344,341,340,338,337,336,333,333,332,332,331
Saltvik,1862,1865,1871,1873,1877,1882,1887,1892,1898,1905,1910,1916,1920,1926,1931,1935,1941,1946,1952,1959,1966,1972
Sund,1029,1032,1036,1038,1039,1041,1042,1042,1041,1042,1041,1043,1042,1041,1042,1042,1041,1042,1044,1044,1046,1047
Ålands skärgård,2061,2056,2054,2049,2055,2055,2058,2064,2072,2075,2078,2088,2093,2098,2102,2104,2107,2111,2113,2114,2119,2117
Brändö,448,450,451,450,452,452,455,457,459,461,462,464,466,467,469,469,471,472,472,475,476,476
Föglö,528,522,519,516,515,515,514,516,517,517,518,519,519,521,521,519,521,521,522,521,522,520
Kumlinge,312,311,310,309,310,308,309,308,308,307,307,307,308,307,307,307,305,306,306,305,305,304
Kökar,234,235,235,235,237,239,240,241,243,244,244,246,247,248,248,249,249,250,251,252,253,254
Sottunga,90,88,87,87,86,85,84,84,84,84,83,85,84,84,83,83,83,82,81,80,80,79
Vårdö,449,450,452,452,455,456,456,458,461,462,464,467,469,471,474,477,478,480,481,481,483,484
