Region,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
Kaarina,33734,34004,34269,34517,34747,34963,35156,35335,35492,35636,35760,35871,35972,36069,36157,36237,36312,36381,36451,36515,36571,36617
Lieto,19923,20011,20094,20174,20246,20312,20373,20429,20478,20514,20543,20564,20580,20598,20610,20620,20637,20654,20676,20698,20720,20741
Masku,9509,9462,9411,9360,9307,9253,9197,9142,9092,9043,8993,8944,8900,8860,8822,8784,8752,8723,8697,8673,8654,8633
Mynämäki,7711,7661,7618,7576,7538,7501,7465,7428,7395,7363,7331,7301,7273,7246,7218,7191,7163,7136,7109,7083,7056,7030
Naantali,19315,19381,19448,19510,19570,19628,19680,19727,19767,19805,19839,19872,19905,19932,19955,19974,19988,20004,20018,20032,20039,20042
Nousiainen,4697,4662,4628,4597,4569,4539,4509,4481,4452,4424,4396,4367,4337,4312,4285,4261,4240,4221,4203,4189,4176,4159
Paimio,10856,10882,10906,10930,10950,10971,10992,11009,11023,11033,11037,11037,11036,11032,11024,11015,11005,10992,10986,10979,10970,10961
Raisio,24029,23902,23796,23700,23616,23538,23466,23395,23324,23255,23190,23127,23064,23004,22942,22880,22819,22762,22706,22654,22603,22550
Rusko,6294,6332,6367,6398,6428,6455,6483,6510,6534,6554,6572,6587,6597,6602,6607,6611,6615,6617,6620,6622,6622,6624
Sauvo,2983,2971,2960,2948,2937,2924,2915,2904,2894,2884,2872,2861,2850,2842,2833,2825,2816,2807,2800,2793,2786,2778
Turku,192982,194531,195986,197390,198760,200111,201444,202748,204027,205274,206484,207645,208723,209709,210593,211363,212005,212509,212871,213105,213244,213317
Vakka-Suomi,31201,31158,31124,31092,31057,31022,30985,30950,30911,30865,30822,30770,30716,30655,30593,30535,30472,30412,30352,30292,30232,30171
Kustavi,935,944,956,967,977,989,997,1008,1017,1026,1035,1041,1049,1057,1063,1068,1072,1076,1080,1084,1086,1088
Laitila,8657,8663,8668,8675,8678,8682,8685,8687,8688,8687,8687,8683,8679,8672,8666,8661,8654,8647,8641,8636,8631,8628
Pyhäranta,2000,1973,1950,1927,1907,1889,1871,1855,1839,1822,1807,1791,1774,1757,1742,1730,1715,1701,1689,1676,1665,1653
Taivassalo,1664,1667,1668,1669,1668,1669,1668,1670,1670,1668,1669,1669,1668,1667,1667,1667,1668,1670,1671,1671,1673,1673
Uusikaupunki,15675,15652,15633,15612,15590,15563,15538,15510,15479,15450,15417,15383,15347,15308,15265,15223,15180,15138,15095,15052,15008,14962
Vehmaa,2270,2259,2249,2242,2237,2230,2226,2220,2218,2212,2207,2203,2199,2194,2190,2186,2183,2180,2176,2173,2169,2167
Loimaa,33800,33546,33308,33082,32869,32658,32467,32271,32083,31898,31708,31522,31333,31153,30974,30802,30645,30492,30344,30204,30065,29934
Aura,3980,3973,3968,3963,3959,3951,3946,3940,3935,3932,3925,3917,3909,3902,3893,3884,3875,3866,3859,3853,3846,3842
Koski Tl,2317,2297,2277,2258,2242,2226,2212,2197,2182,2167,2154,2140,2126,2113,2100,2087,2077,2067,2057,2048,2038,2031
Loimaa,15871,15721,15584,15455,15334,15215,15107,14997,14893,14792,14691,14590,14490,14391,14295,14202,14112,14022,13934,13849,13767,13685
Marttila,2012,2008,2003,2000,1996,1994,1991,1986,1979,1973,1964,1957,1947,1937,1930,1921,1916,1911,1907,1902,1897,1894
Oripää,1350,1335,1321,1307,1295,1282,1271,1260,1252,1243,1234,1227,1220,1215,1209,1204,1199,1195,1191,1187,1182,1178
Pöytyä,8270,8212,8155,8099,8043,7990,7940,7891,7842,7791,7740,7691,7641,7595,7547,7504,7466,7431,7396,7365,7335,7304
MK04 Satakunta,217235,215887,214572,213276,212000,210735,209482,208229,207000,205787,204575,203356,202140,200926,199712,198489,197283,196083,194898,193721,192563,191403
Rauma,67037,66711,66399,66092,65784,65473,65157,64836,64518,64201,63878,63549,63225,62907,62583,62261,61944,61629,61313,60998,60680,60360
Eura,11624,11504,11386,11267,11148,11033,10918,10809,10705,10602,10499,10399,10303,10208,10115,10025,9938,9854,9772,9693,9617,9543
Eurajoki,9482,9505,9522,9534,9539,9540,9532,9516,9493,9467,9439,9406,9373,9343,9309,9277,9243,9212,9180,9148,9115,9083
Rauma,39215,39076,38953,38834,38717,38596,38476,38350,38229,38107,37982,37852,37718,37586,37450,37311,37173,37029,36880,36729,36571,36408
Säkylä,6716,6626,6538,6457,6380,6304,6231,6161,6091,6025,5958,5892,5831,5770,5709,5648,5590,5534,5481,5428,5377,5326
Pori,131640,130833,130029,129222,128430,127646,126871,126095,125329,124576,123822,123069,122313,121554,120797,120029,119268,118508,117759,117017,116291,115564
Harjavalta,6950,6881,6812,6741,6669,6600,6533,6469,6407,6349,6288,6228,6169,6108,6050,5990,5935,5879,5826,5773,5724,5673
Huittinen,9991,9898,9808,9721,9639,9559,9482,9404,9329,9259,9188,9119,9048,8980,8914,8848,8783,8718,8659,8599,8542,8484
Kokemäki,7121,7023,6930,6843,6761,6681,6603,6530,6459,6391,6328,6268,6210,6153,6097,6044,5989,5937,5884,5837,5790,5744
Merikarvia,3090,3064,3039,3013,2987,2960,2934,2912,2890,2866,2846,2824,2804,2783,2761,2738,2716,2695,2674,2655,2636,2615
Nakkila,5387,5335,5282,5229,5176,5124,5071,5017,4968,4920,4870,4821,4772,4723,4674,4628,4584,4542,4504,4464,4429,4392
Pomarkku,2106,2070,2035,1998,1964,1930,1900,1867,1835,1806,1778,1751,1724,1698,1675,1650,1626,1604,1584,1564,1544,1527
Pori,84015,83638,83265,82893,82529,82167,81805,81441,81077,80713,80348,79977,79601,79218,78828,78426,78018,77601,77179,76756,76335,75918
Ulvila,12980,12924,12858,12784,12705,12625,12543,12455,12364,12272,12176,12081,11985,11891,11798,11705,11617,11532,11449,11369,11291,11211
Pohjois-Satakunta,18558,18343,18144,17962,17786,17616,17454,17298,17153,17010,16875,16738,16602,16465,16332,16199,16071,15946,15826,15706,15592,15479
Honkajoki,1638,1614,1591,1570,1554,1534,1515,1498,1481,1464,1449,1432,1416,1399,1383,1368,1355,1343,1331,1318,1308,1296
Jämijärvi,1776,1746,1720,1697,1673,1652,1632,1614,1594,1577,1559,1543,1528,1511,1494,1479,1464,1450,1438,1425,1412,1401
Kankaanpää,11351,11241,11138,11046,10954,10865,10778,10694,10616,10539,10465,10391,10315,10240,10167,10092,10019,9945,9876,9806,9739,9671
Karvia,2364,2339,2317,2295,2273,2253,2236,2217,2203,2188,2176,2162,2149,2136,2122,2109,2094,2081,2065,2052,2039,2027
Siikainen,1429,1403,1378,1354,1332,1312,1293,1275,1259,1242,1226,1210,1194,1179,1166,1151,1139,1127,1116,1105,1094,1084
MK05 Kanta-Häme,170350,169386,168454,167558,166687,165835,164999,164170,163351,162540,161743,160969,160217,159475,158740,158019,157314,156620,155940,155265,154607,153955
Hämeenlinna,93146,92851,92566,92285,92006,91718,91426,91126,90811,90490,90166,89841,89514,89179,88841,88492,88148,87799,87454,87107,86764,86422
Hattula,9424,9369,9316,9263,9209,9152,9095,9037,8978,8919,8859,8801,8746,8690,8639,8587,8538,8489,8442,8394,8346,8300
Hämeenlinna,67363,67210,67066,66922,66779,66631,66478,66320,66150,65976,65796,65611,65418,65215,65003,64782,64558,64327,64094,63857,63622,63384
Janakkala,16359,16272,16184,16100,16018,15935,15853,15769,15683,15595,15511,15429,15350,15274,15199,15123,15052,14983,14918,14856,14796,14738
Riihimäki,44668,44351,44044,43754,43478,43214,42961,42711,42470,42240,42016,41805,41606,41420,41242,41078,40927,40784,40652,40526,40410,40296
Hausjärvi,8330,8248,8166,8088,8014,7938,7866,7794,7728,7662,7598,7536,7478,7422,7371,7325,7283,7247,7216,7186,7160,7133
Loppi,7789,7713,7632,7550,7465,7386,7309,7234,7161,7092,7026,6967,6911,6860,6809,6765,6727,6689,6655,6623,6592,6564
Riihimäki,28549,28390,28246,28116,27999,27890,27786,27683,27581,27486,27392,27302,27217,27138,27062,26988,26917,26848,26781,26717,26658,26599
Forssa,32536,32184,31844,31519,31203,30903,30612,30333,30070,29810,29561,29323,29097,28876,28657,28449,28239,28037,27834,27632,27433,27237
Forssa,16893,16759,16629,16505,16384,16265,16149,16036,15923,15811,15703,15597,15494,15391,15287,15184,15079,14973,14865,14759,14652,14548
Humppila,2187,2143,2104,2066,2030,1997,1965,1933,1905,1877,1851,1826,1803,1781,1759,1740,1720,1704,1686,1670,1653,1637
Jokioinen,5120,5045,4969,4896,4824,4759,4697,4639,4584,4533,4484,4435,4390,4347,4305,4266,4228,4192,4158,4124,4091,4058
Tammela,6005,5929,5856,5784,5714,5649,5585,5523,5467,5411,5357,5308,5264,5220,5179,5140,5103,5067,5032,4996,4962,4928
Ypäjä,2331,2308,2286,2268,2251,2233,2216,2202,2191,2178,2166,2157,2146,2137,2127,2119,2109,2101,2093,2083,2075,2066
MK06 Pirkanmaa,517409,519600,521673,523648,525524,527292,528973,530562,532041,533414,534677,535837,536861,537756,538531,539182,539706,540089,540345,540478,540509,540430
Luoteis-Pirkanmaa,15186,15001,14831,14668,14513,14363,14218,14084,13949,13822,13692,13570,13451,13333,13221,13108,13002,12896,12799,12703,12614,12523
Ikaalinen,6924,6853,6786,6726,6668,6613,6560,6510,6461,6416,6367,6321,6275,6232,6189,6146,6105,6064,6026,5990,5956,5924
Kihniö,1873,1836,1802,1766,1735,1705,1678,1652,1627,1603,1578,1555,1531,1507,1487,1466,1447,1429,1413,1396,1382,1364
Parkano,6389,6312,6243,6176,6110,6045,5980,5922,5861,5803,5747,5694,5645,5594,5545,5496,5450,5403,5360,5317,5276,5235
Etelä-Pirkanmaa,42307,42087,41875,41671,41463,41255,41050,40851,40652,40454,40251,40052,39860,39676,39494,39324,39163,39015,38873,38744,38621,38496
Akaa,16478,16353,16229,16108,15984,15861,15743,15630,15523,15419,15317,15218,15124,15035,14952,14874,14804,14742,14686,14637,14591,14545
Urjala,4728,4671,4618,4573,4529,4486,4444,4405,4366,4331,4296,4262,4232,4203,4174,4148,4123,4100,4076,4057,4038,4018
Valkeakoski,21101,21063,21028,20990,20950,20908,20863,20816,20763,20704,20638,20572,20504,20438,20368,20302,20236,20173,20111,20050,19992,19933
Tampere,410079,413343,416423,419353,422147,424798,427331,429728,431994,434130,436143,438021,439747,441318,442752,444035,445162,446127,446936,447601,448139,448568
Hämeenkyrö,10465,10421,10376,10328,10286,10246,10210,10174,10144,10110,10077,10042,10006,9970,9934,9900,9870,9843,9821,9800,9782,9763
Kangasala,31905,32119,32321,32504,32666,32812,32944,33065,33173,33270,33360,33445,33528,33607,33685,33759,33830,33901,33973,34046,34112,34172
Lempäälä,23394,23574,23745,23906,24057,24185,24296,24393,24473,24544,24601,24650,24697,24738,24779,24825,24876,24930,24988,25050,25112,25172
Nokia,33649,33763,33866,33959,34037,34100,34148,34185,34207,34218,34226,34232,34233,34229,34228,34230,34236,34244,34257,34273,34290,34305
Orivesi,9122,9034,8951,8878,8807,8738,8669,8605,8544,8487,8432,8379,8329,8279,8231,8185,8143,8104,8068,8035,8003,7972
Pirkkala,19486,19596,19698,19793,19875,19946,20008,20061,20108,20146,20174,20193,20206,20212,20217,20219,20220,20224,20231,20240,20250,20258
Pälkäne,6436,6375,6319,6266,6216,6167,6123,6080,6039,6002,5967,5936,5903,5872,5846,5820,5796,5771,5748,5728,5708,5690
Tampere,238064,240744,243298,245761,248156,250479,252738,254909,257006,259022,260953,262777,264469,266021,267429,268674,269746,270632,271337,271879,272294,272611
Vesilahti,4381,4367,4350,4331,4312,4293,4276,4261,4246,4231,4219,4206,4194,4187,4179,4175,4171,4170,4170,4169,4169,4172
Ylöjärvi,33177,33350,33499,33627,33735,33832,33919,33995,34054,34100,34134,34161,34182,34203,34224,34248,34274,34308,34343,34381,34419,34453
Lounais-Pirkanmaa,27248,26972,26716,26475,26246,26033,25827,25631,25440,25256,25077,24912,24750,24590,24436,24284,24136,23992,23851,23715,23584,23453
Punkalaidun,2838,2786,2739,2697,2655,2617,2582,2549,2518,2489,2460,2437,2414,2392,2374,2353,2335,2317,2301,2284,2271,2256
Sastamala,24410,24186,23977,23778,23591,23416,23245,23082,22922,22767,22617,22475,22336,22198,22062,21931,21801,21675,21550,21431,21313,21197
Ylä-Pirkanmaa,22589,22197,21828,21481,21155,20843,20547,20268,20006,19752,19514,19282,19053,18839,18628,18431,18243,18059,17886,17715,17551,17390
Juupajoki,1854,1825,1799,1773,1750,1726,1703,1682,1663,1644,1629,1612,1594,1579,1562,1549,1538,1526,1515,1504,1494,1484
Mänttä-Vilppula,9802,9628,9462,9309,9165,9025,8893,8769,8649,8531,8421,8316,8209,8110,8012,7921,7831,7746,7663,7582,7504,7426
Ruovesi,4313,4236,4165,4100,4040,3985,3933,3885,3840,3799,3760,3721,3686,3653,3620,3588,3559,3530,3505,3481,3458,3435
Virrat,6620,6508,6402,6299,6200,6107,6018,5932,5854,5778,5704,5633,5564,5497,5434,5373,5315,5257,5203,5148,5095,5045
MK07 Päijät-Häme,200045,199466,198898,198323,197737,197140,196524,195898,195259,194602,193937,193247,192534,191801,191046,190266,189484,188684,187878,187063,186252,185436
Lahti,200045,199466,198898,198323,197737,197140,196524,195898,195259,194602,193937,193247,192534,191801,191046,190266,189484,188684,187878,187063,186252,185436
Asikkala,8091,8032,7980,7929,7874,7819,7761,7707,7653,7600,7548,7498,7448,7399,7350,7300,7255,7208,7163,7119,7076,7032
Hartola,2717,2658,2602,2552,2504,2462,2420,2383,2348,2315,2285,2255,2226,2200,2171,2143,2116,2091,2068,2044,2023,2002
Heinola,18647,18423,18220,18025,17839,17663,17495,17334,17182,17033,16888,16747,16609,16473,16337,16203,16071,15940,15814,15690,15568,15449
Hollola,23502,23388,23261,23121,22972,22815,22656,22498,22342,22189,22036,21882,21727,21577,21429,21289,21157,21033,20910,20793,20679,20562
Kärkölä,4388,4334,4284,4237,4194,4154,4115,4075,4037,4001,3968,3936,3905,3874,3844,3816,3789,3762,3737,3713,3690,3668
Lahti,120113,120250,120373,120477,120564,120628,120665,120668,120637,120575,120486,120363,120208,120025,119811,119561,119283,118974,118640,118287,117922,117546
Orimattila,16018,15944,15867,15789,15705,15618,15529,15443,15356,15269,15181,15096,15011,14925,14842,14758,14679,14603,14533,14463,14395,14329
Padasjoki,2900,2843,2788,2736,2688,2641,2597,2554,2514,2474,2439,2403,2370,2337,2306,2274,2245,2216,2188,2160,2133,2108
Sysmä,3669,3594,3523,3457,3397,3340,3286,3236,3190,3146,3106,3067,3030,2991,2956,2922,2889,2857,2825,2794,2766,2740
MK08 Kymenlaakso,171739,170127,168570,167060,165577,164127,162702,161307,159940,158597,157263,155946,154649,153358,152088,150823,149580,148361,147167,145988,144820,143661
Kouvola,89047,88179,87343,86530,85731,84950,84178,83419,82678,81956,81243,80537,79841,79148,78463,77779,77104,76447,75800,75162,74529,73903
Iitti,6710,6658,6611,6565,6518,6474,6426,6383,6338,6295,6252,6210,6167,6123,6079,6034,5991,5950,5908,5867,5828,5790
Kouvola,82337,81521,80732,79965,79213,78476,77752,77036,76340,75661,74991,74327,73674,73025,72384,71745,71113,70497,69892,69295,68701,68113
Kotka-Hamina,82692,81948,81227,80530,79846,79177,78524,77888,77262,76641,76020,75409,74808,74210,73625,73044,72476,71914,71367,70826,70291,69758
Hamina,20098,19907,19719,19537,19357,19178,19004,18831,18659,18485,18312,18140,17972,17806,17643,17482,17325,17174,17026,16881,16737,16595
Kotka,52432,51999,51584,51186,50798,50423,50059,49706,49360,49016,48677,48343,48014,47683,47356,47028,46701,46376,46055,45736,45418,45102
Miehikkälä,1902,1867,1834,1804,1775,1748,1723,1699,1676,1654,1633,1612,1592,1573,1556,1536,1522,1504,1489,1472,1459,1445
Pyhtää,5161,5127,5092,5054,5015,4972,4925,4879,4832,4786,4734,4684,4633,4583,4535,4492,4449,4407,4369,4334,4297,4262
Virolahti,3099,3048,2998,2949,2901,2856,2813,2773,2735,2700,2664,2630,2597,2565,2535,2506,2479,2453,2428,2403,2380,2354
MK09 Etelä-Karjala,127917,127088,126265,125450,124661,123883,123122,122359,121614,120878,120150,119419,118694,117969,117236,116515,115782,115051,114321,113588,112860,112138
Lappeenranta,88281,87997,87701,87398,87107,86818,86529,86231,85931,85622,85315,84994,84667,84333,83979,83626,83252,82867,82477,82075,81666,81252
Lappeenranta,72590,72466,72333,72197,72073,71946,71818,71679,71536,71387,71231,71062,70879,70683,70473,70252,70009,69749,69479,69197,68904,68608
Lemi,3027,3010,2991,2971,2951,2929,2911,2889,2866,2840,2814,2786,2759,2734,2708,2684,2661,2638,2618,2595,2573,2553
Luumäki,4595,4530,4467,4404,4343,4286,4229,4174,4120,4065,4016,3964,3916,3873,3829,3787,3744,3704,3665,3626,3590,3552
Savitaipale,3370,3312,3258,3204,3152,3103,3055,3008,2963,2919,2877,2838,2800,2763,2724,2690,2656,2626,2595,2566,2538,2509
Taipalsaari,4699,4679,4652,4622,4588,4554,4516,4481,4446,4411,4377,4344,4313,4280,4245,4213,4182,4150,4120,4091,4061,4030
Imatra,39636,39091,38564,38052,37554,37065,36593,36128,35683,35256,34835,34425,34027,33636,33257,32889,32530,32184,31844,31513,31194,30886
