"Väestö 31.12. muuttujina Maakunta, Kieli, Ikä, Sukupuoli, Vuosi ja Tiedot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA2 AHVENANMAA,Yhteensä,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,29884
MK21 Ahvenanmaa,Yhteensä,24604,24847,24993,25102,25158,25202,25257,25392,25625,25706,25776,26008,26257,26347,26530,26766,26923,27153,27456,27734,28007,28354,28501,28666,28916,28983,29214,29489,29789,29884
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<A HREF='https://www.stat.fi/til/vaerak/meta.html' TARGET=_blank>Tilaston kuvaus</A>
<A HREF='https://www.stat.fi/til/vaerak/laa.html' TARGET=_blank>Laatuselosteet</A>
<A HREF='https://www.stat.fi/til/vaerak/kas.html' TARGET=_blank>Käsitteet ja määritelmät</A>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"<A HREF=http://guides.stat.fi/historiallisentilastotiedonopas TARGET=_blank>Historiallisen tilastotiedon opas, ks. linkki</A>
 
 Väestötilastoja vuodesta 1750 lähtien on digitoitu pdf-muotoon Kansalliskirjaston Doria-palveluun:
 <A HREF=http://www.doria.fi/handle/10024/67161 TARGET=_blank>  Väestörakenne ja Väestönmuutokset -julkaisuja Doriassa</A>
 <A HREF=http://www.doria.fi/handle/10024/67160 TARGET=_blank>  Väestölaskenta-julkaisuja Doriassa</A>
 
 ---",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maakunta:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilastossa käytetään 1.1.2020 aluejakoa koko aikasarjassa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieli:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kielet (ISO 639-1) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kieli:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kotimaiset kielet ovat suomi, ruotsi ja saame",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikä:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikä tarkoittaa henkilön ikää kokonaisina vuosina vuoden viimeisenä päivänä.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiedot:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Väestö 31.12.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Väkiluku tilastoajanjakson lopussa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Päivitetty viimeksi:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Väestö 31.12.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200324 08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lähde:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Väestörakenne, Tilastokeskus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yhteystiedot:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Väestö 31.12.:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<A HREF='https://www.stat.fi/til/vaerak/yht.html' TARGET=_blank>Lisätietoja</A>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
